Pitch (MIDI),Time (s),Intensity,Tag
47.0,4.007173299789429,0.034853347,Suspicious
47.0,4.037172794342041,0.03543192,Suspicious
46.0,4.0399181842803955,0.027013332,Suspicious
46.0,4.067319631576538,0.027059853,Suspicious
45.0,4.0971879959106445,0.025508936,Suspicious
44.0,4.127209186553955,0.029716445,Suspicious
44.0,4.129939317703247,0.03040734,Suspicious
73.0,4.157390832901001,0.0332014,Suspicious
74.0,4.187224626541138,0.029877767,Suspicious
74.0,4.217207431793213,0.041776516,Suspicious
74.0,4.246227264404297,0.03877496,Suspicious
74.0,4.248971223831177,0.030227963,Suspicious
74.0,4.276345491409302,0.02189635,Suspicious
32.0,4.306240797042847,0.027588269,Suspicious
73.0,4.336212396621704,0.034949604,Suspicious
74.0,4.338956117630005,0.037767973,Suspicious
74.0,4.366714954376221,0.035877354,Suspicious
75.0,4.396947383880615,0.03444421,Suspicious
44.0,4.42689847946167,0.036059603,Suspicious
44.0,4.430966854095459,0.019127412,Suspicious
44.0,4.456340312957764,0.028583348,Suspicious
44.0,4.486387491226196,0.042318206,Suspicious
74.0,4.516232013702393,0.040734798,Suspicious
32.0,4.545242786407471,0.042403754,Suspicious
32.0,4.5479724407196045,0.03127068,Suspicious
75.0,4.57536768913269,0.023470808,Suspicious
46.0,4.605246543884277,0.01736675,Suspicious
33.0,4.635302305221558,0.027675824,Suspicious
33.0,4.638298988342285,0.03120957,Suspicious
33.0,4.665390968322754,0.038745116,Suspicious
45.0,4.695431232452393,0.039561618,Suspicious
45.0,4.7252373695373535,0.029396567,Suspicious
45.0,4.755229949951172,0.02449163,Suspicious
45.0,4.757853746414185,0.032574087,Suspicious
46.0,4.785393714904785,0.03259068,Suspicious
46.0,4.8152759075164795,0.03312062,Suspicious
46.0,4.845290660858154,0.039971296,Suspicious
46.0,4.848079204559326,0.04212146,Suspicious
46.0,4.875410795211792,0.044350322,Suspicious
46.0,4.9053871631622314,0.046649486,Suspicious
46.0,4.935299634933472,0.04440908,Suspicious
46.0,4.9643714427948,0.040697012,Suspicious
46.0,4.967218399047852,0.032844894,Suspicious
46.0,4.994598627090454,0.040761024,Suspicious
46.0,5.024383783340454,0.032829635,Suspicious
46.0,5.05440354347229,0.040782742,Suspicious
46.0,5.057201147079468,0.030731406,Suspicious
46.0,5.084496736526489,0.021670407,Suspicious
46.0,5.114422798156738,0.011239562,Suspicious
45.0,5.144374132156372,0.020981388,Suspicious
45.0,5.17435097694397,0.029633531,Suspicious
40.0,5.177199602127075,0.025790447,Suspicious
40.0,5.204552888870239,0.026352502,Suspicious
26.0,5.234408617019653,0.018424055,Suspicious
28.0,5.2643883228302,0.0074872137,Suspicious
26.0,5.2671122550964355,0.024860239,Suspicious
52.0,5.294545412063599,0.01682179,Suspicious
40.0,5.3244123458862305,0.00964291,Suspicious
52.0,5.354379653930664,0.009936174,Suspicious
40.0,5.3572165966033936,0.019854529,Suspicious
28.0,5.3845374584198,0.015885409,Suspicious
40.0,5.414562702178955,0.0060600964,Suspicious
28.0,5.473945617675781,0.027619967,Suspicious
26.0,5.503587484359741,0.021873092,Suspicious
40.0,5.53346848487854,0.020482812,Suspicious
40.0,5.563365697860718,0.014822591,Suspicious
33.0,5.56666374206543,0.010813645,Suspicious
39.0,5.593578815460205,0.015372675,Suspicious
52.0,5.623522043228149,0.016167052,Suspicious
45.0,5.653460264205933,0.018453088,Suspicious
45.0,5.68349027633667,0.0142410705,Suspicious
28.0,5.686262845993042,0.010722782,Suspicious
30.0,5.713624715805054,0.021719297,Suspicious
40.0,5.743680000305176,0.0183877,Suspicious
46.0,5.773571968078613,0.011145661,Suspicious
46.0,5.776504755020142,0.0073217284,Suspicious
45.0,5.8037803173065186,0.012255871,Suspicious
40.0,5.834088087081909,0.012191909,Suspicious
40.0,5.863588571548462,0.009803811,Suspicious
40.0,5.893418788909912,0.013931357,Suspicious
31.0,5.896026134490967,0.021923138,Suspicious
52.0,5.923471450805664,0.019306192,Suspicious
53.0,5.952434539794922,0.013095097,Suspicious
52.0,5.982608079910278,0.016545983,Suspicious
30.0,5.985271453857422,0.009882815,Suspicious
45.0,6.012805223464966,0.009049918,Suspicious
40.0,6.042609930038452,0.011801658,Suspicious
52.0,6.072484970092773,0.0058646626,Suspicious
52.0,6.075310468673706,0.010544236,Suspicious
40.0,6.102695465087891,0.009467819,Suspicious
40.0,6.132503986358643,0.023559595,Suspicious
46.0,6.162575721740723,0.018373674,Suspicious
45.0,6.192591190338135,0.029472444,Suspicious
52.0,6.195372819900513,0.026630666,Suspicious
64.0,6.2226104736328125,0.018762276,Suspicious
64.0,6.251643419265747,0.024822064,Suspicious
53.0,6.281466960906982,0.027176702,Suspicious
53.0,6.284170389175415,0.018211298,Suspicious
26.0,6.31154203414917,0.009251776,Suspicious
45.0,6.341564655303955,0.0074474495,Suspicious
52.0,6.371448993682861,0.012701487,Suspicious
36.0,6.402073621749878,0.012439606,Suspicious
46.0,6.405743360519409,0.018787662,Suspicious
28.0,6.431962728500366,0.035749927,Suspicious
28.0,6.462167024612427,0.011863792,Suspicious
40.0,6.492042064666748,0.0132698435,Suspicious
45.0,6.521583080291748,0.02272168,Suspicious
45.0,6.551737308502197,0.03500601,Suspicious
65.0,6.581818580627441,0.0286253,Suspicious
30.0,6.611613750457764,0.01173625,Suspicious
52.0,6.614401340484619,0.0136175975,Suspicious
52.0,6.641636610031128,0.032078475,Suspicious
51.0,6.671555280685425,0.024715124,Suspicious
52.0,6.70189905166626,0.010651642,Suspicious
