Pitch (MIDI);Time (s);Intensity;Time Diff (s);Intensity_change;Pitch_change_umbrale
62;15.48893499;0.21635997;0.03184247;1.008616209;SAME PITCH
62;15.50938559;0.21506281;0.020450592;0.994004607;SAME PITCH
62;15.53141451;0.22456996;0.022028923;1.044206381;SAME PITCH
62;15.55696177;0.22564137;0.025547266;1.004770875;SAME PITCH
62;15.58099389;0.22194818;0.024032116;0.983632445;SAME PITCH
62;15.60048699;0.22299674;0.019493103;1.004724383;SAME PITCH
62;15.6254971;0.21044764;0.025010109;0.943725169;SAME PITCH
62;15.65010571;0.20347768;0.024608612;0.966880322;SAME PITCH
62;15.66911292;0.19876768;0.019007206;0.976852477;SAME PITCH
62;15.69894767;0.17572324;0.029834747;0.884063482;SAME PITCH
62;15.71878982;0.16853996;0.019842148;0.959121585;SAME PITCH
62;15.73938203;0.16230771;0.020592213;0.963022113;SAME PITCH
62;15.76876545;0.14686503;0.029383421;0.90485549;SAME PITCH
62;15.78935671;0.13589181;0.020591259;0.92528367;SAME PITCH
62;15.80905485;0.13079512;0.019698143;0.962494493;SAME PITCH
62;15.82926893;0.12838936;0.020214081;0.981606662;SAME PITCH
62;15.86027718;0.12623966;0.031008244;0.9832564;SAME PITCH
62;15.87907362;0.11670212;0.018796444;0.924448907;SAME PITCH
62;15.89914393;0.15586318;0.020070314;1.335564256;SAME PITCH
63;15.92923069;0.21002744;0.030086756;1.34751153;SAME PITCH
64;15.94871187;0.18837367;0.019481182;0.896900296;SAME PITCH
64;15.96888781;0.1683124;0.020175934;0.893502772;SAME PITCH
64;15.99911666;0.1282578;0.030228853;0.762022257;SAME PITCH
64;16.01899123;0.10343795;0.019874573;0.806484699;SAME PITCH
64;16.03906751;0.10544684;0.020076275;1.01942122;SAME PITCH
64;16.06939554;0.10524313;0.030328035;0.998068154;SAME PITCH
64;16.08867645;0.08909268;0.01928091;0.846541524;SAME PITCH
64;16.10688376;0.07793248;0.018207312;0.874734938;SAME PITCH
64;16.14024973;0.07447702;0.033365965;0.95566082;SAME PITCH
64;16.1587913;0.06549676;0.018541574;0.879422426;SAME PITCH
64;16.17870092;0.056712158;0.01990962;0.86587733;SAME PITCH
64;16.20528126;0.053414017;0.026580334;0.941844225;SAME PITCH
