Pitch (MIDI);Time (s);Intensity
45;0.019470692;0.025780011
45;0.029724598;0.023054613
45;0.019984961;0.018060103
45;0.021780252;0.017016351
45;0.019987822;0.014144015
91;0.027716875;0.01344322
91;0.020200968;0.00944935
91;0.016451359;0.006435463
91;0.035223246;0.004460142
91;0.020018339;0.003243686
73;0.065382004;0.10580865
57;0.023820162;0.11954662
45;0.030264139;0.108912
45;0.020265102;0.11414225
45;0.020025969;0.110392585
45;0.029957294;0.11492165
45;0.015372753;0.11046707
45;0.023448944;0.10825416
51;0.031591654;0.11268218
51;0.014989138;0.10976874
45;0.02311945;0.11527487
45;0.031180143;0.116217025
45;0.019990921;0.11902785
45;0.020306349;0.11279359
45;0.030256271;0.10545488
45;0.018534899;0.11700877
45;0.021662712;0.11223018
45;0.025438547;0.11472053
45;0.019995451;0.108696066
45;0.02007103;0.11455758
45;0.019765854;0.1123408
45;0.034249067;0.1126014
45;0.020023823;0.112423606
51;0.016540289;0.108418025
51;0.029862642;0.114749216
45;0.020204306;0.11347982
45;0.01902771;0.1197486
45;0.03106904;0.122522645
45;0.020169258;0.11894321
45;0.01792407;0.11124454
45;0.034953356;0.09929434
45;0.019988298;0.107104935
53;0.018806458;0.10513387
53;0.031629324;0.10288374
53;0.020032644;0.10943459
53;0.014987707;0.109592
53;0.033457279;0.11504162
53;0.017008305;0.11557349
53;0.020265341;0.11534093
53;0.033815145;0.119566575
53;0.017709732;0.12089249
53;0.021517038;0.12327865
53;0.031366825;0.12916099
53;0.019993305;0.13298477
53;0.015444756;0.13708548
53;0.034352541;0.14322025
53;0.019987345;0.11697768
41;0.019957304;0.10863561
52;0.029983997;0.107842244
52;0.013289213;0.113040596
52;0.026643991;0.10857314
52;0.019119263;0.11100411
52;0.031612635;0.111734405
52;0.017706156;0.113734685
52;0.022092104;0.11425458
52;0.025015831;0.1148388
52;0.020158052;0.117936164
52;0.019801617;0.11505068
52;0.034062147;0.11786761
52;0.020009041;0.12868096
52;0.019966841;0.12986231
52;0.030015469;0.10995341
52;0.020165682;0.10802455
50;0.020039558;0.1076113
50;0.029945612;0.10220362
50;0.020016193;0.101738475
50;0.019276142;0.10783305
50;0.029499769;0.107558236
50;0.019989252;0.113236606
50;0.02131629;0.11515285
50;0.029352903;0.119205184
50;0.021052122;0.12502551
50;0.020025969;0.1217711
50;0.029951334;0.1269248
50;0.020023346;0.12257164
50;0.020084381;0.11789664
50;0.029948711;0.1061772
50;0.019987345;0.10617394
47;0.015192509;0.10019444
47;0.024206877;0.104100816
47;0.030712128;0.10298953
47;0.020251274;0.10857489
47;0.019990444;0.111123934
47;0.029231787;0.11005712
47;0.018770695;0.11084145
47;0.019984722;0.113624796
47;0.02622509;0.111977145
47;0.01996851;0.11343865
47;0.024084568;0.117770076
47;0.025025606;0.11725688
47;0.025045872;0.11528594
47;0.021803856;0.112549886
47;0.027945995;0.10164327
47;0.021670818;0.09093743
47;0.01499176;0.081860065
47;0.030199528;0.078157365
47;0.024024487;0.068864554
47;0.015285969;0.06206916
47;0.034631014;0.060964506
47;0.019958258;0.05059174
47;0.020029783;0.049340654
47;0.030869722;0.047799986
47;0.019944429;0.04528465
47;0.019996643;0.04852934
47;0.025205612;0.03731626
47;0.023260117;0.011112249
47;0.020479441;0.015005265
95;0.030394077;0.010691495
94;0.020619869;0.015782528
94;0.019407272;0.011474968
47;0.020203114;0.009995648
47;0.029877424;0.009815285
95;0.020238638;0.011936147
94;0.018721819;0.013912026
94;0.030394554;0.010296768
94;0.020955563;0.010938515
47;0.019887447;0.00790981
94;0.030151844;0.006047567
94;0.01932478;0.004972686
94;0.020893335;0.003347373
94;0.395796776;0.005014099
83;0.020205975;0.103634775
55;0.01999259;0.09759954
55;0.029986858;0.10337874
55;0.020166397;0.10089136
55;0.02400279;0.10373307
55;0.029994726;0.10362927
55;0.015175819;0.10035167
55;0.021211147;0.10403346
55;0.030062675;0.10462925
55;0.019799948;0.10970662
55;0.019998312;0.108761676
55;0.030617476;0.10951383
55;0.020064354;0.11260424
43;0.023042917;0.118277535
43;0.025010347;0.12631758
43;0.019958258;0.1215037
55;0.021786928;0.11099992
55;0.029984474;0.103684105
55;0.019992352;0.11247924
55;0.019990206;0.10982212
55;0.030060053;0.1084803
55;0.019953966;0.11360301
55;0.019986868;0.11317489
55;0.029986143;0.11695577
55;0.019946814;0.11084525
55;0.01996541;0.11569908
55;0.029984951;0.11553763
55;0.019988537;0.12107787
55;0.019989014;0.12865083
55;0.032428741;0.13303246
55;0.019004822;0.1331423
55;0.019989729;0.1094185
43;0.01676321;0.112068266
53;0.03199935;0.10876887
53;0.020022392;0.114611365
